线路标题,站点
"北京地铁（Beijing Subway），是服务于中国北京市的城市轨道交通系统，也是国际地铁联盟（CoMET）的成员，其首条线路于1971年1月15日正式开通运营，使北京成为中国首个开通地铁的城市。
截至2022年7月，北京地铁运营线路共有27条，运营里程783千米，车站463座（其中换乘站73座）。
截至2022年3月，北京地铁在建线路10条。到2025年，北京地铁将形成线网由30条运营，总长1177千米的轨道交通网络。
2021年，北京地铁年客运量为30.66亿人次。截至2021年12月，北京地铁单日最高客运量为1375.38万人次（2019年7月12日）。",传媒大学
"北京地铁（Beijing Subway），是服务于中国北京市的城市轨道交通系统，也是国际地铁联盟（CoMET）的成员，其首条线路于1971年1月15日正式开通运营，使北京成为中国首个开通地铁的城市。
截至2022年7月，北京地铁运营线路共有27条，运营里程783千米，车站463座（其中换乘站73座）。
截至2022年3月，北京地铁在建线路10条。到2025年，北京地铁将形成线网由30条运营，总长1177千米的轨道交通网络。
2021年，北京地铁年客运量为30.66亿人次。截至2021年12月，北京地铁单日最高客运量为1375.38万人次（2019年7月12日）。",双桥
"北京地铁（Beijing Subway），是服务于中国北京市的城市轨道交通系统，也是国际地铁联盟（CoMET）的成员，其首条线路于1971年1月15日正式开通运营，使北京成为中国首个开通地铁的城市。
截至2022年7月，北京地铁运营线路共有27条，运营里程783千米，车站463座（其中换乘站73座）。
截至2022年3月，北京地铁在建线路10条。到2025年，北京地铁将形成线网由30条运营，总长1177千米的轨道交通网络。
2021年，北京地铁年客运量为30.66亿人次。截至2021年12月，北京地铁单日最高客运量为1375.38万人次（2019年7月12日）。",管庄
"北京地铁（Beijing Subway），是服务于中国北京市的城市轨道交通系统，也是国际地铁联盟（CoMET）的成员，其首条线路于1971年1月15日正式开通运营，使北京成为中国首个开通地铁的城市。
截至2022年7月，北京地铁运营线路共有27条，运营里程783千米，车站463座（其中换乘站73座）。
截至2022年3月，北京地铁在建线路10条。到2025年，北京地铁将形成线网由30条运营，总长1177千米的轨道交通网络。
2021年，北京地铁年客运量为30.66亿人次。截至2021年12月，北京地铁单日最高客运量为1375.38万人次（2019年7月12日）。",八里桥
"北京地铁（Beijing Subway），是服务于中国北京市的城市轨道交通系统，也是国际地铁联盟（CoMET）的成员，其首条线路于1971年1月15日正式开通运营，使北京成为中国首个开通地铁的城市。
截至2022年7月，北京地铁运营线路共有27条，运营里程783千米，车站463座（其中换乘站73座）。
截至2022年3月，北京地铁在建线路10条。到2025年，北京地铁将形成线网由30条运营，总长1177千米的轨道交通网络。
2021年，北京地铁年客运量为30.66亿人次。截至2021年12月，北京地铁单日最高客运量为1375.38万人次（2019年7月12日）。",通州北苑
"北京地铁（Beijing Subway），是服务于中国北京市的城市轨道交通系统，也是国际地铁联盟（CoMET）的成员，其首条线路于1971年1月15日正式开通运营，使北京成为中国首个开通地铁的城市。
截至2022年7月，北京地铁运营线路共有27条，运营里程783千米，车站463座（其中换乘站73座）。
截至2022年3月，北京地铁在建线路10条。到2025年，北京地铁将形成线网由30条运营，总长1177千米的轨道交通网络。
2021年，北京地铁年客运量为30.66亿人次。截至2021年12月，北京地铁单日最高客运量为1375.38万人次（2019年7月12日）。",果园
"北京地铁（Beijing Subway），是服务于中国北京市的城市轨道交通系统，也是国际地铁联盟（CoMET）的成员，其首条线路于1971年1月15日正式开通运营，使北京成为中国首个开通地铁的城市。
截至2022年7月，北京地铁运营线路共有27条，运营里程783千米，车站463座（其中换乘站73座）。
截至2022年3月，北京地铁在建线路10条。到2025年，北京地铁将形成线网由30条运营，总长1177千米的轨道交通网络。
2021年，北京地铁年客运量为30.66亿人次。截至2021年12月，北京地铁单日最高客运量为1375.38万人次（2019年7月12日）。",九棵树
"北京地铁（Beijing Subway），是服务于中国北京市的城市轨道交通系统，也是国际地铁联盟（CoMET）的成员，其首条线路于1971年1月15日正式开通运营，使北京成为中国首个开通地铁的城市。
截至2022年7月，北京地铁运营线路共有27条，运营里程783千米，车站463座（其中换乘站73座）。
截至2022年3月，北京地铁在建线路10条。到2025年，北京地铁将形成线网由30条运营，总长1177千米的轨道交通网络。
2021年，北京地铁年客运量为30.66亿人次。截至2021年12月，北京地铁单日最高客运量为1375.38万人次（2019年7月12日）。",梨园
"北京地铁（Beijing Subway），是服务于中国北京市的城市轨道交通系统，也是国际地铁联盟（CoMET）的成员，其首条线路于1971年1月15日正式开通运营，使北京成为中国首个开通地铁的城市。
截至2022年7月，北京地铁运营线路共有27条，运营里程783千米，车站463座（其中换乘站73座）。
截至2022年3月，北京地铁在建线路10条。到2025年，北京地铁将形成线网由30条运营，总长1177千米的轨道交通网络。
2021年，北京地铁年客运量为30.66亿人次。截至2021年12月，北京地铁单日最高客运量为1375.38万人次（2019年7月12日）。",临河里
"北京地铁（Beijing Subway），是服务于中国北京市的城市轨道交通系统，也是国际地铁联盟（CoMET）的成员，其首条线路于1971年1月15日正式开通运营，使北京成为中国首个开通地铁的城市。
截至2022年7月，北京地铁运营线路共有27条，运营里程783千米，车站463座（其中换乘站73座）。
截至2022年3月，北京地铁在建线路10条。到2025年，北京地铁将形成线网由30条运营，总长1177千米的轨道交通网络。
2021年，北京地铁年客运量为30.66亿人次。截至2021年12月，北京地铁单日最高客运量为1375.38万人次（2019年7月12日）。",土桥
"北京地铁（Beijing Subway），是服务于中国北京市的城市轨道交通系统，也是国际地铁联盟（CoMET）的成员，其首条线路于1971年1月15日正式开通运营，使北京成为中国首个开通地铁的城市。
截至2022年7月，北京地铁运营线路共有27条，运营里程783千米，车站463座（其中换乘站73座）。
截至2022年3月，北京地铁在建线路10条。到2025年，北京地铁将形成线网由30条运营，总长1177千米的轨道交通网络。
2021年，北京地铁年客运量为30.66亿人次。截至2021年12月，北京地铁单日最高客运量为1375.38万人次（2019年7月12日）。",花庄
"北京地铁（Beijing Subway），是服务于中国北京市的城市轨道交通系统，也是国际地铁联盟（CoMET）的成员，其首条线路于1971年1月15日正式开通运营，使北京成为中国首个开通地铁的城市。
截至2022年7月，北京地铁运营线路共有27条，运营里程783千米，车站463座（其中换乘站73座）。
截至2022年3月，北京地铁在建线路10条。到2025年，北京地铁将形成线网由30条运营，总长1177千米的轨道交通网络。
2021年，北京地铁年客运量为30.66亿人次。截至2021年12月，北京地铁单日最高客运量为1375.38万人次（2019年7月12日）。",西直门
"北京地铁（Beijing Subway），是服务于中国北京市的城市轨道交通系统，也是国际地铁联盟（CoMET）的成员，其首条线路于1971年1月15日正式开通运营，使北京成为中国首个开通地铁的城市。
截至2022年7月，北京地铁运营线路共有27条，运营里程783千米，车站463座（其中换乘站73座）。
截至2022年3月，北京地铁在建线路10条。到2025年，北京地铁将形成线网由30条运营，总长1177千米的轨道交通网络。
2021年，北京地铁年客运量为30.66亿人次。截至2021年12月，北京地铁单日最高客运量为1375.38万人次（2019年7月12日）。",积水潭
